dic,model
6003.9095055049565,RW
6223.111247535302,RW (rho)
2678.7522196507734,Hybrid (v)
2661.6034875232162,Hybrid (alpha)
2630.3716881726523,Hybrid(alpha + v)
2772.266612182806,"Hybrid (alpha + v, rho)"
